Team,Conf.,Rec.,2ndO Wins,S&P+P,S&P+R,Rk,Off. S&P+,Rk,Def. S&P+,Rk,ST S&P+,Rk,SOS,Rk,Year
Clemson,ACC,2-Nov,10.3 (-0.7),91.80%,24.5,8,42.4,10,19.6,19,1.6,17,0.839,16,2013
Louisville,AAC,1-Dec,11.9 (-0.1),91.50%,24.2,9,39.1,17,15.2,9,0.3,55,0.958,101,2013
USC,Pac-12,4-Oct,9.5 (-0.5),89.90%,22.5,10,36.6,27,12.5,6,-1.6,114,0.882,50,2013
Wisconsin,Big Ten,4-Sep,10.3 (1.3),89.70%,22.4,11,39.5,16,15.6,11,-1.5,110,0.889,54,2013
Oklahoma State,Big 12,3-Oct,11.6 (1.6),89.10%,21.8,12,36.8,26,14,7,-1.1,104,0.877,48,2013
Stanford,Pac-12,3-Nov,10.6 (-0.4),89.00%,21.7,13,35.8,32,15.5,10,1.3,24,0.828,12,2013
Kansas State,Big 12,5-Aug,9.1 (1.1),88.90%,21.7,14,40.4,13,20,22,1.3,23,0.895,58,2013
Washington,Pac-12,4-Sep,9.5 (0.5),87.60%,20.5,15,37.6,23,18.3,14,1.1,28,0.859,31,2013
Texas A&M,SEC,4-Sep,9.1 (0.1),87.50%,20.4,16,50.5,1,31.3,83,1.2,27,0.843,19,2013
Baylor,Big 12,2-Oct,10.0 (0.0),87.40%,20.4,17,41,11,21,27,0.3,53,0.892,56,2013
UCLA,Pac-12,3-Oct,9.0 (-1.0),87.00%,20,18,39,18,20.4,25,1.4,21,0.839,15,2013
South Carolina,SEC,2-Nov,9.4 (-1.6),86.80%,19.8,19,40.7,12,20.6,26,-0.3,79,0.852,24,2013
Michigan State,Big Ten,13-1,11.0 (-2.0),86.60%,19.7,20,28.9,66,11.6,3,2.4,4,0.896,59,2013
Oklahoma,Big 12,2-Nov,8.0 (-3.0),86.40%,19.6,21,36.2,30,18.3,15,1.6,16,0.848,21,2013
Missouri,SEC,2-Dec,10.0 (-2.0),86.10%,19.3,22,42.6,9,23.1,40,-0.2,78,0.858,28,2013
Arizona State,Pac-12,4-Oct,8.8 (-1.2),83.60%,17.5,23,40,14,22,35,-0.4,83,0.822,7,2013
Iowa,Big Ten,5-Aug,8.0 (0.0),83.30%,17.3,24,29.6,58,12.4,5,0.1,60,0.859,30,2013
Miami-FL,ACC,4-Sep,7.5 (-1.5),82.80%,16.9,25,39.8,15,24,47,1.2,26,0.867,37,2013
Virginia Tech,ACC,5-Aug,8.2 (0.2),79.50%,14.9,26,26,77,9.6,1,-1.6,115,0.861,32,2013
Arizona,Pac-12,5-Aug,8.7 (0.7),79.00%,14.6,27,37.2,24,21.1,28,-1.5,111,0.862,33,2013
Texas Tech,Big 12,5-Aug,8.0 (0.0),77.90%,14,28,37.9,22,24.1,48,0.2,59,0.879,49,2013
North Carolina,ACC,6-Jul,8.2 (1.2),77.50%,13.7,29,34.2,39,21.4,30,1,31,0.909,66,2013
Notre Dame,Ind,4-Sep,7.6 (-1.4),76.60%,13.2,30,35.2,35,21.9,34,-0.1,74,0.873,45,2013
TCU,Big 12,8-Apr,6.8 (2.8),75.00%,12.4,31,24.9,88,15,8,2.5,3,0.848,22,2013
Ole Miss,SEC,5-Aug,7.8 (-0.2),75.00%,12.4,32,36.6,29,23.2,42,-1,101,0.823,8,2013
Central Florida,AAC,1-Dec,10.2 (-1.8),75.00%,12.3,33,38.4,19,27.4,72,1.3,22,0.92,68,2013
Oregon State,Pac-12,6-Jul,7.2 (0.2),74.10%,11.9,34,38,21,26.6,65,0.4,51,0.856,27,2013
Utah,Pac-12,7-May,5.6 (0.6),73.80%,11.8,35,30.1,56,19.9,21,1.5,20,0.831,13,2013
Nebraska,Big Ten,4-Sep,7.5 (-1.5),73.60%,11.6,36,32.3,47,22.8,39,2.2,8,0.893,57,2013
Georgia Tech,ACC,6-Jun,6.8 (0.8),73.10%,11.4,37,35.3,34,24.9,52,1,32,0.873,44,2013
Boise State,MWC,5-Aug,8.9 (0.9),72.90%,11.3,38,35,36,25.6,58,1.9,14,0.945,89,2013
Michigan,Big Ten,6-Jul,6.8 (-0.2),72.50%,11.1,39,31.2,53,20.2,24,0.1,64,0.872,42,2013
Maryland,ACC,6-Jul,6.9 (-0.1),72.00%,10.8,40,29.6,59,19.8,20,1.1,30,0.888,53,2013
Mississippi State,SEC,6-Jul,7.2 (0.2),71.80%,10.7,41,34.6,37,22.2,36,-1.7,117,0.811,5,2013
Texas,Big 12,5-Aug,5.8 (-2.2),71.40%,10.5,42,29.4,62,20.1,23,1.2,25,0.84,17,2013
BYU,Ind,5-Aug,9.4 (1.4),70.40%,10,43,28.3,67,18.9,17,0.6,43,0.899,63,2013
Bowling Green,MAC,4-Oct,10.5 (0.5),69.90%,9.8,44,33.8,40,24.6,51,0.6,45,0.971,118,2013
Pittsburgh,ACC,6-Jul,7.3 (0.3),69.10%,9.4,45,32.9,46,22.3,38,-1.2,106,0.871,39,2013
Florida,SEC,8-Apr,5.4 (1.4),68.20%,9,46,25.8,81,15.9,12,-0.9,95,0.801,4,2013
Penn State,Big Ten,5-Jul,7.0 (0.0),68.00%,8.9,47,31.6,52,21.6,32,-1.2,105,0.897,61,2013
Fresno State,MWC,2-Nov,9.4 (-1.6),67.80%,8.8,48,36.1,31,26.7,66,-0.6,90,0.958,102,2013
Marshall,C-USA,4-Sep,11.1 (2.1),66.70%,8.3,49,33.4,43,25.5,57,0.4,52,0.969,116,2013
Washington State,Pac-12,7-Jun,5.8 (-0.2),66.50%,8.2,50,33.6,41,26.3,62,0.8,36,0.823,9,2013
Cincinnati,AAC,4-Sep,9.8 (0.8),65.80%,7.8,51,31.9,50,21.6,31,-2.5,127,0.953,96,2013
East Carolina,C-USA,3-Oct,11.0 (1.0),65.00%,7.5,52,33.3,44,23.8,46,-2,121,0.963,108,2013
Ball State,MAC,3-Oct,10.6 (0.6),65.00%,7.5,53,38.3,20,31.3,85,0.5,48,0.985,122,2013
Vanderbilt,SEC,4-Sep,8.0 (-1.0),65.00%,7.5,54,29.1,65,22.2,37,0.6,46,0.885,52,2013
Boston College,ACC,6-Jul,6.6 (-0.4),64.10%,7.1,55,32,49,27,68,2.1,9,0.848,23,2013
Northern Illinois,MAC,2-Dec,10.9 (-1.1),62.40%,6.3,56,36.6,28,29.8,76,-0.5,86,0.962,107,2013
Tennessee,SEC,7-May,4.5 (-0.5),59.70%,5.1,57,29.2,63,26.1,60,1.9,12,0.8,2,2013
Duke,ACC,4-Oct,8.5 (-1.5),59.30%,5,58,32,48,27.2,70,0.1,61,0.874,46,2013
Houston,AAC,5-Aug,8.1 (0.1),59.20%,4.9,59,29.4,60,25.4,56,0.8,38,0.937,79,2013
Toledo,MAC,5-Jul,7.2 (0.2),58.70%,4.7,60,35.8,33,33.4,89,2.2,6,0.947,90,2013
Utah State,MWC,5-Sep,9.1 (0.1),57.70%,4.2,61,23.3,93,19.5,18,0.5,49,0.936,78,2013
Northwestern,Big Ten,7-May,6.3 (1.3),57.50%,4.2,62,29.4,61,25.9,59,0.6,42,0.874,47,2013
Colorado State,MWC,6-Aug,8.4 (0.4),54.80%,3,63,31.8,51,29.5,74,0.7,40,0.937,81,2013
Minnesota,Big Ten,5-Aug,5.2 (-2.8),53.70%,2.5,64,25.6,84,25,53,2,11,0.905,64,2013
Arkansas,SEC,9-Mar,3.6 (0.6),51.30%,1.5,65,30,57,30.6,80,2.1,10,0.817,6,2013
Indiana,Big Ten,7-May,6.0 (1.0),51.00%,1.4,66,37.1,25,35.9,99,0.1,63,0.865,35,2013
North Texas,C-USA,4-Sep,9.0 (0.0),50.00%,1,67,25.1,86,23.1,41,-1.1,103,0.961,105,2013
Syracuse,ACC,6-Jul,6.6 (-0.4),47.60%,0,68,25.9,79,23.2,43,-2.7,129,0.872,43,2013
Navy,Ind,4-Sep,7.9 (-1.1),47.00%,-0.3,69,33.4,42,33.5,93,-0.2,77,0.964,111,2013
NC State,ACC,9-Mar,3.9 (0.9),46.50%,-0.5,70,25,87,26.5,63,0.9,34,0.872,41,2013
Colorado,Pac-12,8-Mar,4.3 (1.3),46.00%,-0.7,71,28,68,28.3,73,-0.4,82,0.84,18,2013
West Virginia,Big 12,8-Apr,3.9 (-0.1),45.50%,-0.9,72,25.9,78,27.2,69,0.3,54,0.867,36,2013
Rice,C-USA,4-Oct,8.3 (-1.7),44.20%,-1.5,73,24,91,26.1,61,0.7,41,0.957,99,2013
Kentucky,SEC,10-Feb,3.0 (1.0),41.90%,-2.5,74,27.6,70,31.2,82,1.1,29,0.825,10,2013
Wake Forest,ACC,8-Mar,5.4 (2.4),41.30%,-2.8,75,19.4,103,21.3,29,-0.9,97,0.868,38,2013
Western Kentucky,Sun Belt,4-Aug,8.8 (0.8),40.50%,-3.1,76,30.5,55,33.5,91,-0.1,76,0.988,124,2013
Memphis,AAC,9-Mar,4.4 (1.4),40.20%,-3.2,77,18,107,24.3,50,3,1,0.942,85,2013
Iowa State,Big 12,9-Mar,3.7 (0.7),38.90%,-3.8,78,25.7,83,29.7,75,0.2,58,0.858,29,2013
Illinois,Big Ten,8-Apr,4.7 (0.7),38.60%,-4,79,34.2,38,36.8,102,-1.4,108,0.865,34,2013
San Diego State,MWC,5-Aug,7.9 (-0.1),36.60%,-4.8,80,26.9,72,29.9,77,-1.8,119,0.937,80,2013
San Jose State,MWC,6-Jun,5.5 (-0.5),36.10%,-5.1,81,33,45,38.6,110,0.5,47,0.951,93,2013
Virginia,ACC,10-Feb,2.1 (0.1),35.70%,-5.2,82,21.3,98,26.5,64,-0.1,75,0.845,20,2013
UTSA,C-USA,5-Jul,7.0 (0.0),32.70%,-6.6,83,25.9,80,30.3,78,-2.2,123,0.943,87,2013
Florida Atlantic,C-USA,6-Jun,7.5 (1.5),32.70%,-6.6,84,18.9,106,25,54,-0.5,85,0.936,77,2013
Tulane,C-USA,6-Jul,6.4 (-0.6),29.80%,-8,85,15.6,114,24.1,49,0.4,50,0.983,120,2013
Rutgers,AAC,7-Jun,6.0 (0.0),29.70%,-8.1,86,24,90,31.6,88,-0.5,87,0.93,72,2013
California,Pac-12,11-Jan,1.3 (0.3),28.50%,-8.7,87,27.7,69,37.1,104,0.8,39,0.8,3,2013
Buffalo,MAC,5-Aug,7.3 (-0.7),27.80%,-9,88,22.3,96,30.4,79,-1,99,0.933,73,2013
Kansas,Big 12,9-Mar,2.8 (-0.2),26.50%,-9.7,89,16,112,25.3,55,-0.3,80,0.872,40,2013
UNLV,MWC,6-Jul,6.3 (-0.7),25.60%,-10.1,90,26.8,73,34.2,96,-2.7,128,0.966,114,2013
South Alabama,Sun Belt,6-Jun,7.4 (1.4),25.50%,-10.2,91,25.2,85,34.3,97,-1.1,102,0.988,123,2013
Temple,AAC,10-Feb,5.0 (3.0),24.50%,-10.7,92,27.6,71,37,103,-1.3,107,0.934,75,2013
Ohio,MAC,6-Jul,6.7 (-0.3),23.20%,-11.4,93,22.5,95,33.5,92,-0.5,88,0.949,92,2013
Middle Tennessee,C-USA,5-Aug,6.5 (-1.5),22.60%,-11.8,94,23.3,94,34.2,95,-0.8,93,0.959,103,2013
UL-Lafayette,Sun Belt,4-Sep,7.3 (-1.7),21.30%,-12.5,95,26.2,76,38.2,108,-0.6,89,0.971,119,2013
Connecticut,AAC,9-Mar,3.5 (0.5),20.20%,-13.2,96,15.9,113,26.8,67,-2.3,124,0.93,71,2013
Texas State,Sun Belt,6-Jun,5.6 (-0.4),19.30%,-13.7,97,17.1,111,31.4,86,0.6,44,0.983,121,2013
Kent State,MAC,8-Apr,4.0 (0.0),19.20%,-13.8,98,21.2,99,34,94,-1,100,0.933,74,2013
Hawaii,MWC,11-Jan,3.5 (2.5),18.40%,-14.3,99,23.4,92,35.6,98,-2.2,122,0.941,84,2013
Troy,Sun Belt,6-Jun,5.3 (-0.7),18.10%,-14.5,100,29.1,64,43.8,116,0.2,57,0.971,117,2013
New Mexico,MWC,9-Mar,3.7 (0.7),17.40%,-14.9,101,30.9,54,45.9,121,0.1,62,0.962,106,2013
SMU,AAC,7-May,4.2 (-0.8),16.90%,-15.2,102,21.8,97,36.2,100,-0.8,91,0.928,69,2013
Akron,MAC,7-May,4.7 (-0.3),16.80%,-15.3,103,17.9,108,30.9,81,-2.3,126,0.952,94,2013
Wyoming,MWC,7-May,5.1 (0.1),16.80%,-15.3,104,26.7,74,39.1,112,-3,130,0.961,104,2013
South Florida,AAC,10-Feb,1.8 (-0.2),16.60%,-15.5,105,10.8,122,27.2,71,0.9,33,0.908,65,2013
Purdue,Big Ten,11-Jan,0.9 (-0.1),16.30%,-15.7,106,19.2,104,33.4,90,-1.5,112,0.855,25,2013
Arkansas State,Sun Belt,5-Jul,6.0 (-1.0),15.60%,-16.2,107,20.8,100,37.9,106,0.9,35,0.943,86,2013
Louisiana Tech,C-USA,7-May,5.5 (0.5),14.70%,-16.8,108,14.2,115,31.3,84,0.2,56,0.989,125,2013
Nevada,MWC,8-Apr,3.3 (-0.7),14.60%,-16.8,109,25.7,82,42.6,114,0,65,0.89,55,2013
Air Force,MWC,10-Feb,3.1 (1.1),14.50%,-16.9,110,26.6,75,45.2,119,1.6,18,0.964,110,2013
Tulsa,C-USA,9-Mar,3.4 (0.4),12.30%,-18.7,111,12.9,121,31.6,87,-0.1,73,0.944,88,2013
Central Michigan,MAC,6-Jun,4.7 (-1.3),12.20%,-18.8,112,19.7,102,37.6,105,-0.9,96,0.969,115,2013
UAB,C-USA,10-Feb,2.5 (0.5),9.90%,-20.8,113,24.1,89,46.5,122,1.6,19,0.938,82,2013
Southern Miss,C-USA,11-Jan,2.5 (1.5),6.60%,-24.5,114,13.6,117,36.5,101,-1.7,116,0.957,100,2013
Army,Ind,10-Feb,3.1 (1.1),6.60%,-24.6,115,20.8,101,44.5,118,-0.8,92,0.956,98,2013
Western Michigan,MAC,11-Jan,2.4 (1.4),5.90%,-25.5,116,13.9,116,38.5,109,-0.9,98,0.939,83,2013
UL-Monroe,Sun Belt,6-Jun,3.5 (-2.5),5.40%,-26.2,117,13.4,119,38.1,107,-1.5,109,0.952,95,2013
UTEP,C-USA,10-Feb,2.1 (0.1),3.90%,-28.9,118,19,105,45.6,120,-2.3,125,0.966,113,2013
Miami-OH,MAC,0-12,0.2 (0.2),3.80%,-29,119,10.2,123,38.8,111,-0.4,81,0.965,112,2013
Georgia State,Sun Belt,0-12,2.5 (2.5),2.40%,-32.6,120,13.3,120,44.4,117,-1.5,113,0.947,91,2013
New Mexico State,Ind,10-Feb,1.4 (-0.6),1.70%,-35.1,121,17.7,110,52.4,125,-0.4,84,0.954,97,2013
Idaho,Ind,11-Jan,1.2 (0.2),1.50%,-35.6,122,13.6,118,48.4,123,-0.9,94,0.909,67,2013
Eastern Michigan,MAC,10-Feb,1.4 (-0.6),1.50%,-35.7,123,17.8,109,50.4,124,-3.1,131,0.964,109,2013
Massachusetts,MAC,11-Jan,1.3 (0.3),1.40%,-36.1,124,6.4,125,40.7,113,-1.7,118,0.929,70,2013
Florida International,C-USA,11-Jan,0.9 (-0.1),0.90%,-38.9,125,6.4,124,43.4,115,-1.9,120,0.936,76,2013
Alabama,SEC,13-1,12.6 (-0.4),99.10%,36.5,1,45.7,3,10.7,3,1.5,17,0.819,9,2012
Florida State,ACC,2-Dec,12.5 (0.5),97.60%,30.8,2,40.8,13,12.7,5,2.7,2,0.906,59,2012
Texas A&M,SEC,2-Nov,10.7 (-0.3),96.70%,28.8,3,44.7,6,16,13,0,60,0.81,6,2012
Oklahoma,Big 12,3-Oct,10.1 (0.1),96.50%,28.5,4,46,2,19.9,28,2.4,5,0.822,10,2012
Florida,SEC,2-Nov,10.4 (-0.6),96.30%,28,5,32.2,44,6.6,1,2.5,4,0.806,5,2012
Georgia,SEC,2-Dec,11.3 (-0.7),96.30%,28,6,44.9,5,16.6,15,-0.2,73,0.839,20,2012
Oregon,Pac-12,1-Dec,11.9 (-0.1),95.80%,27.2,7,46.4,1,17.2,17,-2,120,0.868,40,2012
Oklahoma State,Big 12,5-Aug,10.0 (2.0),93.50%,24,8,44.7,7,23.3,41,2.6,3,0.857,33,2012
Ohio State,Big Ten,Dec-00,10.1 (-1.9),93.30%,23.8,9,40.6,16,17.5,18,0.7,42,0.893,53,2012
LSU,SEC,3-Oct,8.5 (-1.5),93.20%,23.7,10,34.5,32,12.1,4,1.3,19,0.804,4,2012
Kansas State,Big 12,2-Nov,9.4 (-1.6),92.30%,22.7,11,41.8,11,20.4,30,1.2,22,0.827,14,2012
USC,Pac-12,6-Jul,8.2 (1.2),91.60%,21.9,12,40.7,14,18.3,22,-0.5,78,0.867,37,2012
Michigan,Big Ten,5-Aug,8.8 (0.8),90.00%,20.5,13,36.2,26,16.6,14,0.9,35,0.84,22,2012
Nebraska,Big Ten,4-Oct,10.1 (0.1),89.70%,20.3,14,39.2,19,19.8,27,0.9,32,0.847,28,2012
Notre Dame,Ind,1-Dec,10.1 (-1.9),88.40%,19.2,15,33.4,35,13.8,6,-0.4,76,0.815,7,2012
Texas,Big 12,4-Sep,8.2 (-0.8),87.50%,18.6,16,42.2,10,23.4,43,-0.2,71,0.831,16,2012
Clemson,ACC,2-Nov,10.0 (-1.0),87.40%,18.5,17,41.5,12,24.1,47,1.1,27,0.883,48,2012
Texas Tech,Big 12,5-Aug,8.2 (0.2),85.10%,17,18,44.1,8,26.5,58,-0.6,80,0.856,32,2012
Arizona State,Pac-12,5-Aug,8.6 (0.6),84.50%,16.6,19,35.2,31,18.8,24,0.2,55,0.887,49,2012
Oregon State,Pac-12,4-Sep,8.9 (-0.1),84.20%,16.4,20,33.2,37,19,25,2.2,7,0.855,30,2012
South Carolina,SEC,2-Oct,8.9 (-1.1),83.60%,16.1,21,33.2,36,15.5,11,-1.6,109,0.823,11,2012
Stanford,Pac-12,2-Dec,9.1 (-2.9),82.40%,15.3,22,29.2,56,14.2,7,0.4,48,0.847,27,2012
Tennessee,SEC,7-May,6.8 (1.8),82.00%,15.1,23,42.6,9,28.3,66,0.7,40,0.824,12,2012
UCLA,Pac-12,5-Sep,9.1 (0.1),81.50%,14.8,24,36.8,23,22.8,40,0.8,37,0.871,42,2012
Wisconsin,Big Ten,6-Aug,8.7 (0.7),80.90%,14.5,25,31.5,49,15.9,12,-1.1,96,0.868,39,2012
Ole Miss,SEC,6-Jun,7.9 (1.9),80.30%,14.2,26,36.9,22,22.8,39,0.1,59,0.798,3,2012
Penn State,Big Ten,4-Aug,7.7 (-0.3),80.20%,14.1,27,32.7,40,17,16,-1.7,110,0.911,60,2012
North Carolina,ACC,4-Jul,8.5 (1.5),80.20%,14.1,28,39.7,17,26.6,59,0.9,33,0.949,90,2012
Boise State,MWC,2-Nov,10.0 (-1.0),78.80%,13.4,29,32.2,43,17.7,19,-1.1,97,0.953,94,2012
TCU,Big 12,6-Jul,7.2 (0.2),77.80%,12.9,30,28.6,58,17.7,20,2,11,0.839,21,2012
Virginia Tech,ACC,6-Jul,7.4 (0.4),77.50%,12.7,31,27.8,63,14.8,8,-0.2,72,0.889,50,2012
Fresno State,MWC,4-Sep,9.1 (0.1),77.00%,12.5,32,31.9,47,19.6,26,0.2,56,0.941,85,2012
Michigan State,Big Ten,6-Jul,7.7 (0.7),76.90%,12.4,33,21.3,101,10.2,2,1.3,20,0.858,34,2012
Northern Illinois,MAC,2-Dec,11.9 (-0.1),76.80%,12.4,34,35.6,29,25.4,54,2.1,10,0.952,93,2012
Arkansas,SEC,8-Apr,6.4 (2.4),75.20%,11.6,35,36.5,24,24.8,51,-0.1,68,0.826,13,2012
Cincinnati,Big East,3-Sep,10.0 (1.0),74.20%,11.1,36,33.8,34,23.7,46,1,28,0.956,102,2012
Baylor,Big 12,5-Aug,8.4 (0.4),74.00%,11,37,45.2,4,33.3,86,-0.8,86,0.837,19,2012
Utah State,WAC,2-Nov,11.9 (0.9),73.90%,11,38,30.4,53,20.5,31,1.1,24,0.957,105,2012
BYU,Ind,5-Aug,9.1 (1.1),73.60%,10.9,39,26.3,78,15,9,-0.4,77,0.917,63,2012
Louisville,Big East,2-Nov,9.3 (-1.7),72.70%,10.5,40,35.7,28,24.2,49,-1,91,0.921,68,2012
Vanderbilt,SEC,4-Aug,7.5 (-0.5),71.60%,10,41,26.9,70,18.8,23,1.8,13,0.865,36,2012
San Jose State,WAC,2-Nov,10.1 (-0.9),70.90%,9.7,42,35.2,30,27.3,64,1.8,14,0.954,98,2012
Miami-FL,ACC,5-Jul,6.1 (-0.9),67.50%,8.2,43,36.9,21,28.8,68,0.1,58,0.861,35,2012
Arizona,Pac-12,5-Aug,7.4 (-0.6),67.30%,8.2,44,40.7,15,31.5,79,-1,92,0.841,23,2012
West Virginia,Big 12,6-Jul,6.7 (-0.3),67.30%,8.1,45,39.1,20,29.4,73,-1.5,105,0.841,24,2012
Mississippi State,SEC,5-Aug,7.8 (-0.2),67.10%,8.1,46,32.9,38,25.1,53,0.3,50,0.835,17,2012
Northwestern,Big Ten,3-Oct,7.4 (-2.6),64.90%,7.2,47,30.6,51,24.3,50,0.9,36,0.9,57,2012
Central Florida,C-USA,4-Oct,10.3 (0.3),62.60%,6.3,48,32,46,25.6,55,-0.1,66,0.954,97,2012
Washington,Pac-12,6-Jul,6.7 (-0.3),62.20%,6.1,49,27.7,66,20,29,-1.6,107,0.85,29,2012
Georgia Tech,ACC,7-Jun,7.3 (1.3),62.00%,6,50,36.1,27,28.1,65,-2,119,0.846,26,2012
Syracuse,Big East,5-Aug,8.8 (0.8),61.50%,5.8,51,34.3,33,26.8,60,-1.7,111,0.921,67,2012
Pittsburgh,Big East,7-May,6.9 (1.9),61.20%,5.7,52,27.5,69,21.5,33,-0.3,75,0.921,69,2012
NC State,ACC,6-Jul,6.7 (-0.3),60.30%,5.4,53,27.8,64,21.5,34,-0.9,88,0.889,51,2012
California,Pac-12,9-Mar,4.7 (1.7),60.10%,5.3,54,31.3,50,25.8,56,-0.2,70,0.828,15,2012
Auburn,SEC,9-Mar,3.9 (0.9),58.70%,4.8,55,28,61,25.1,52,1.9,12,0.778,2,2012
Iowa State,Big 12,7-Jun,5.1 (-0.9),57.90%,4.4,56,26.5,77,23.6,44,1.5,16,0.836,18,2012
Missouri,SEC,7-May,4.7 (-0.3),56.60%,3.9,57,25.6,82,21.6,35,-0.1,64,0.761,1,2012
Utah,Pac-12,7-May,4.4 (-0.6),56.10%,3.8,58,24.4,87,21.3,32,0.7,41,0.88,46,2012
Tulsa,C-USA,3-Nov,9.7 (-1.3),53.00%,2.6,59,25.7,81,22.4,38,-0.7,81,0.952,92,2012
San Diego State,MWC,4-Sep,8.1 (-0.9),52.50%,2.4,60,29.3,55,26.1,57,-0.8,85,0.947,88,2012
Arkansas State,Sun Belt,3-Oct,9.3 (-0.7),49.30%,1.2,61,32.5,42,30.2,77,-1,94,0.933,74,2012
Iowa,Big Ten,8-Apr,4.0 (0.0),47.50%,0.5,62,22.5,97,22.4,37,0.5,45,0.894,54,2012
Louisiana Tech,WAC,3-Sep,7.9 (-1.1),46.50%,0.2,63,39.4,18,39.7,114,0.5,47,0.934,75,2012
UL-Lafayette,Sun Belt,4-Sep,8.1 (-0.9),46.20%,0,64,32.5,41,34.7,94,2.2,8,0.929,71,2012
Rutgers,Big East,4-Sep,7.9 (-1.1),46.10%,0,65,19.9,109,18,21,-1.8,115,0.938,82,2012
Kent State,MAC,3-Nov,8.1 (-2.9),45.60%,-0.1,66,26.6,74,28.4,67,1.7,15,0.977,123,2012
Virginia,ACC,8-Apr,5.6 (1.6),45.30%,-0.3,67,24.8,86,23.7,45,-1.4,102,0.919,65,2012
Connecticut,Big East,7-May,5.9 (0.9),44.20%,-0.7,68,14.5,120,15.5,10,0.3,52,0.952,91,2012
Minnesota,Big Ten,7-Jun,5.3 (-0.7),43.70%,-0.9,69,23.3,94,24.1,48,-0.1,67,0.895,55,2012
Purdue,Big Ten,7-Jun,5.1 (-0.9),43.40%,-1,70,27.6,67,27,61,-1.5,106,0.867,38,2012
Marshall,C-USA,7-May,6.9 (1.9),42.30%,-1.4,71,31.9,48,33.9,88,0.6,43,0.971,117,2012
Nevada,MWC,6-Jul,8.2 (1.2),40.90%,-2,72,36.4,25,37.7,109,-0.7,84,0.955,99,2012
Ball State,MAC,4-Sep,6.7 (-2.3),39.20%,-2.6,73,32.8,39,37.5,108,2.2,9,0.953,96,2012
Boston College,ACC,10-Feb,4.0 (2.0),38.60%,-2.8,74,23.6,90,27.3,63,0.9,34,0.873,43,2012
South Florida,Big East,9-Mar,4.2 (1.2),37.60%,-3.2,75,25.5,84,29.8,74,1.1,26,0.904,58,2012
Troy,Sun Belt,7-May,6.0 (1.0),37.00%,-3.5,76,32,45,35.7,99,0.3,51,0.964,110,2012
Toledo,MAC,4-Sep,6.3 (-2.7),35.70%,-4,77,30.1,54,35.5,98,1.4,18,0.955,100,2012
Bowling Green,MAC,5-Aug,7.9 (-0.1),35.60%,-4,78,20.7,105,21.7,36,-3,124,0.939,84,2012
Washington State,Pac-12,9-Mar,3.6 (0.6),34.50%,-4.4,79,24.4,88,29,70,0.2,54,0.87,41,2012
Indiana,Big Ten,8-Apr,4.7 (0.7),34.10%,-4.6,80,30.5,52,35.1,96,-0.1,63,0.912,61,2012
Western Kentucky,Sun Belt,6-Jul,7.4 (0.4),33.90%,-4.7,81,26.1,80,28.9,69,-1.9,116,0.938,83,2012
East Carolina,C-USA,5-Aug,6.0 (-2.0),31.90%,-5.5,82,27.5,68,33,84,-0.1,65,0.955,101,2012
Houston,C-USA,7-May,5.6 (0.6),31.70%,-5.6,83,26.2,79,32.9,83,1.1,23,0.969,113,2012
Duke,ACC,7-Jun,5.2 (-0.8),28.10%,-7.1,84,28.3,60,36.4,104,1,31,0.875,44,2012
Middle Tennessee,Sun Belt,3-Sep,6.3 (-2.7),27.20%,-7.5,85,27.7,65,34.4,92,-0.8,87,0.975,120,2012
SMU,C-USA,6-Jul,7.6 (0.6),27.00%,-7.6,86,20.8,104,27.1,62,-1.3,101,0.917,64,2012
Rice,C-USA,6-Jul,5.4 (-1.6),27.00%,-7.6,87,25.6,83,34,89,0.8,39,0.971,118,2012
Maryland,ACC,8-Apr,4.3 (0.3),26.60%,-7.8,88,17.6,117,23.3,42,-2.1,121,0.893,52,2012
Ohio,MAC,4-Sep,7.1 (-1.9),26.10%,-8,89,23.8,89,32.1,81,0.3,49,0.976,122,2012
Navy,Ind,5-Aug,5.8 (-2.2),25.90%,-8.1,90,28.8,57,36.3,103,-0.7,83,0.935,77,2012
Kentucky,SEC,10-Feb,2.5 (0.5),24.70%,-8.7,91,22.3,98,29.8,75,-1.2,99,0.844,25,2012
Colorado State,MWC,8-Apr,4.5 (0.5),22.50%,-9.7,92,19.7,110,30.3,78,0.8,38,0.947,89,2012
Illinois,Big Ten,10-Feb,3.2 (1.2),22.40%,-9.8,93,21.2,102,32.1,80,1,29,0.882,47,2012
Western Michigan,MAC,8-Apr,5.9 (1.9),22.40%,-9.8,94,25.4,85,33,85,-2.2,122,0.973,119,2012
Air Force,MWC,7-Jun,6.2 (0.2),22.10%,-10,95,28,62,36.2,102,-1.7,114,0.957,104,2012
Memphis,C-USA,8-Apr,4.7 (0.7),22.10%,-10,96,19.3,111,29.2,71,0,62,0.98,124,2012
UAB,C-USA,9-Mar,3.8 (0.8),20.00%,-11.1,97,26.6,75,38.2,110,0.5,44,0.934,76,2012
Temple,Big East,7-Apr,3.6 (-0.4),19.00%,-11.6,98,21.6,99,36,100,2.8,1,0.937,80,2012
Central Michigan,MAC,6-Jul,6.6 (-0.4),18.90%,-11.6,99,28.4,59,40,116,0,61,0.966,111,2012
Wake Forest,ACC,7-May,4.3 (-0.7),18.40%,-11.9,100,20.1,107,30.1,76,-1.9,117,0.878,45,2012
